2026-07-31T11:54:24.145681716Z [inf]  Starting Container
2026-07-31T11:54:28.318256122Z [inf]  INFO:aiogram.dispatcher:Run polling for bot @multifilmlarobot id=8678096283 - 'Multfilmlar Uzbek tilida'
2026-07-31T11:54:28.318293263Z [inf]  Bot is starting...
2026-07-31T11:54:28.318296993Z [inf]  INFO:aiogram.dispatcher:Start polling
2026-07-31T11:54:48.286288332Z [inf]  INFO:aiogram.event:Update id=976932682 is handled. Duration 625 ms by bot id=8678096283
2026-07-31T11:54:48.286292151Z [inf]  INFO:aiogram.event:Update id=976932683 is handled. Duration 189 ms by bot id=8678096283
2026-07-31T11:54:48.286296079Z [inf]  INFO:aiogram.event:Update id=976932684 is handled. Duration 169 ms by bot id=8678096283
2026-07-31T11:54:51.396386097Z [inf]  INFO:aiogram.event:Update id=976932685 is not handled. Duration 1 ms by bot id=8678096283
2026-07-31T11:54:51.397612807Z [inf]  ERROR:aiogram.event:Cause exception while process update id=976932685 by bot id=8678096283
2026-07-31T11:54:51.397620657Z [inf]  TypeError: get_forcesub_settings_keyboard() missing 1 required positional argument: 'channels'
2026-07-31T11:54:51.397625276Z [inf]  Traceback (most recent call last):
2026-07-31T11:54:51.397629152Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/dispatcher.py", line 320, in _process_update
2026-07-31T11:54:51.397635115Z [inf]      response = await self.feed_update(bot, update, **kwargs)
2026-07-31T11:54:51.397639846Z [inf]                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:54:51.397644200Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/dispatcher.py", line 164, in feed_update
2026-07-31T11:54:51.397650098Z [inf]      response = await self.update.wrap_outer_middleware(
2026-07-31T11:54:51.397654570Z [inf]                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:54:51.397659785Z [inf]      ...<7 lines>...
2026-07-31T11:54:51.397665422Z [inf]      )
2026-07-31T11:54:51.397669525Z [inf]      ^
2026-07-31T11:54:51.397673029Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/middlewares/error.py", line 27, in __call__
2026-07-31T11:54:51.397677216Z [inf]      return await handler(event, data)
2026-07-31T11:54:51.397681084Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:54:51.397684596Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/middlewares/user_context.py", line 58, in __call__
2026-07-31T11:54:51.397688396Z [inf]      return await handler(event, data)
2026-07-31T11:54:51.397692057Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:54:51.397695777Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/fsm/middleware.py", line 43, in __call__
2026-07-31T11:54:51.397699268Z [inf]      return await handler(event, data)
2026-07-31T11:54:51.398683400Z [inf]      ^
2026-07-31T11:54:51.398691309Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/router.py", line 195, in _propagate_event
2026-07-31T11:54:51.398694062Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:54:51.398701418Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/event/telegram.py", line 126, in trigger
2026-07-31T11:54:51.398705942Z [inf]      return await wrapped_inner(event, kwargs)
2026-07-31T11:54:51.398709220Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:54:51.398713255Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/event/handler.py", line 71, in call
2026-07-31T11:54:51.398716383Z [inf]      return await wrapped()
2026-07-31T11:54:51.398719632Z [inf]             ^^^^^^^^^^^^^^^
2026-07-31T11:54:51.398722724Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/dispatcher.py", line 283, in _listen_update
2026-07-31T11:54:51.398725719Z [inf]      return await self.propagate_event(update_type=update_type, event=event, **kwargs)
2026-07-31T11:54:51.398728672Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:54:51.398731787Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/router.py", line 167, in propagate_event
2026-07-31T11:54:51.398735970Z [inf]      return await observer.wrap_outer_middleware(_wrapped, event=event, data=kwargs)
2026-07-31T11:54:51.398739227Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:54:51.398742018Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/router.py", line 159, in _wrapped
2026-07-31T11:54:51.398744924Z [inf]      return await self._propagate_event(
2026-07-31T11:54:51.398747465Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:54:51.398750294Z [inf]      ...<4 lines>...
2026-07-31T11:54:51.398753232Z [inf]      )
2026-07-31T11:54:51.400009320Z [inf]      response = await router.propagate_event(update_type=update_type, event=event, **kwargs)
2026-07-31T11:54:51.400016791Z [inf]    File "/app/middlewares/forcesub.py", line 34, in __call__
2026-07-31T11:54:51.400020612Z [inf]                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:54:51.400023982Z [inf]      return await handler(event, data)
2026-07-31T11:54:51.400029151Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/router.py", line 167, in propagate_event
2026-07-31T11:54:51.400030180Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:54:51.400033051Z [inf]      return await observer.wrap_outer_middleware(_wrapped, event=event, data=kwargs)
2026-07-31T11:54:51.400037475Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:54:51.400042446Z [inf]                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:54:51.400042673Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/router.py", line 159, in _wrapped
2026-07-31T11:54:51.400046958Z [inf]      return await self._propagate_event(
2026-07-31T11:54:51.400050373Z [inf]    File "/app/.venv/lib/python3.13/site-packages/aiogram/dispatcher/event/telegram.py", line 126, in trigger
2026-07-31T11:54:51.400052814Z [inf]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2026-07-31T11:54:51.400058175Z [inf]      ...<4 lines>...
2026-07-31T11:54:51.400058386Z [inf]      return await wrapped_inner(event, kwargs)
